Date,Type,Link
2024-04-04 16:30:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7181660869636886531?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7181660869636886531%2C7181677989779181571%29
2024-04-03 06:25:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7181147145301815296
2024-04-03 06:25:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7181147145301815296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181147145301815296%2C7181164888432549891%29
2024-03-06 05:15:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7170973939781844993
2024-03-04 01:29:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7170034416205959168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7170034416205959168%2C7170053905882533888%29
2024-03-03 17:42:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7170100830312890368
2024-03-03 13:44:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7170034416205959168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7170034416205959168%2C7170050946243248130%29
2024-03-01 12:03:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7169224805437652992?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7169224805437652992%2C7169301003861778432%29
2024-02-29 14:52:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168928443139649537
2024-02-29 10:18:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168191150443495425
2024-02-29 10:18:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7168594160583630849
2024-02-29 10:16:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168824965004156929
2024-02-29 08:41:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7168248605538021376
2024-02-29 08:41:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168688784824369152
2024-02-28 16:15:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168626592871636994
2024-02-28 06:03:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168454790119706624
2024-02-28 04:35:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168461341626761217
2024-02-28 04:35:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7168424154109501440
2024-02-27 05:19:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7168088452931026945
